11:06:09.793 |V| JetEnvironment                | :1                 | JetEnvironment is initiating startup.
11:06:09.809 |V| JetEnvironment                | :1                 | Commencing InitHost phase.
11:06:09.816 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR (no PID suffix).
11:06:09.816 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR (no PID suffix) has no value.
11:06:09.817 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR_PID_00003038 (PID-specific).
11:06:09.817 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR_PID_00003038 (PID-specific) has no value.
11:06:09.817 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
11:06:09.848 |V| JetHostParametersCaller       | :1                 | <Measured> "Host initialization"  time=33ms
11:06:09.848 |V| JetEnvironment                | :1                 | HostInit phase completed.
11:06:09.848 |V| JetEnvironment                | :1                 | Requesting FullPartCatalogSet.
11:06:10.171 |V| DeployedPackages              | :1                 | Initiating Deployed Package discovery for bindir C:\_UnityProjects\Unbeatable-Fanmade\Unbeatable-FanMade\Library\RiderFlow\2022.1.0.129\Backend~\bin.
11:06:10.240 |V| DeployedPackages              | :1                 | Scanning folder C:\_UnityProjects\Unbeatable-Fanmade\Unbeatable-FanMade\Library\RiderFlow\2022.1.0.129\Backend~\bin for Deployed Packages. Picking nugets? True!
