09:16:31.312 |I| Core                           | RequestBuilder thread:7        | MsBuild process with Id = 2672
09:16:31.313 |I| Core                           | RequestBuilder thread:7        | MsBuild location = C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\MSBuild\Current\Bin\MSBuild.exe
09:16:31.313 |I| Core                           | RequestBuilder thread:7        | 
09:16:31.313 |I| Core                           | RequestBuilder thread:7        | Start ControllerTask...
09:16:31.314 |I| Core                           | RequestBuilder thread:7        | Detected version: 16.11
09:16:31.314 |I| Core                           | RequestBuilder thread:7        | Creating SocketWire with port = 13159
09:16:31.336 |I| Core                           | RequestBuilder thread:7        | Create protocol...
09:16:31.384 |I| Core                           | RequestBuilder thread:7        | Create MsBuildModel and advise for new sessions...
09:16:31.414 |I| Core                           | RequestBuilder thread:7        | Subscribe for changes...
09:16:31.415 |I| Core                           | RequestBuilder thread:7        | Setup process watchdog...
09:16:31.416 |I| Core                           | RequestBuilder thread:7        | Run dispatcher...
09:16:31.417 |I| ProcessWatchdog                | WatchParentPid:8024:11         | Monitoring parent process PID:8024
09:16:31.461 |I| Core                           | RequestBuilder thread:7        | Get protocol session 'RdProjectModelSession'
09:16:31.468 |I| Core                           | RequestBuilder thread:7        | Msbuild session 'ProjectModelSessionHost' created
09:16:31.504 |I| ProjectModel                   | RequestBuilder thread:7        | Reloading 51 project(s) in 1 node(s)...
09:16:31.515 |I| Build                          | :3                             | Build started.
09:16:32.623 |I| ProjectModel                   | RequestBuilder thread:7        | Project 'UnityEngine.TestRunner.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
09:16:32.626 |I| BuildQueue                     | RequestBuilder thread:7        | Build immediately: UnityEngine.TestRunner.csproj
09:16:32.628 |I| Build                          | RequestBuilder thread:7        | Start build 'UnityEngine.TestRunner.csproj' with 1 target frameworks
09:16:32.631 |I| Build                          | RequestBuilder thread:7        | Targets for build: _CheckForInvalidConfigurationAndPlatform;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
09:16:32.634 |I| ProjectModel                   | RequestBuilder thread:7        | Project 'Unity.Mathematics.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
09:16:32.634 |I| ProjectModel                   | RequestBuilder thread:7        | Project 'Unity.2D.Animation.Triangle.Runtime.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
09:16:32.634 |I| ProjectModel                   | RequestBuilder thread:7        | Project 'Unity.Timeline.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
09:16:32.634 |I| ProjectModel                   | RequestBuilder thread:7        | Project 'UnityEngine.UI.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
09:16:32.634 |I| BuildQueue                     | RequestBuilder thread:7        | Build immediately: UnityEngine.UI.csproj
09:16:32.634 |I| Build                          | RequestBuilder thread:7        | Start build 'UnityEngine.UI.csproj' with 1 target frameworks
09:16:32.635 |I| Build                          | RequestBuilder thread:7        | Targets for build: _CheckForInvalidConfigurationAndPlatform;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
09:16:32.635 |I| ProjectModel                   | RequestBuilder thread:7        | Project 'Cinemachine.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
09:16:32.635 |I| ProjectModel                   | RequestBuilder thread:7        | Project 'Unity.TextMeshPro.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
09:16:32.635 |I| ProjectModel                   | RequestBuilder thread:7        | Project 'Unity.2D.Animation.Runtime.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
09:16:32.635 |I| ProjectModel                   | RequestBuilder thread:7        | Project 'Assembly-CSharp.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
